lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,i,chain
-7.0473,1.0,1.33629,1,1,0,7.06891,0.205525,0,0
-7.1611,0.983431,1.33629,2,3,0,7.18925,0.295789,1,0
-7.07624,0.985732,1.33629,1,3,0,7.24647,0.194053,2,0
-7.50186,0.908341,1.33629,2,3,0,7.7647,0.130995,3,0
-7.87712,0.933217,1.33629,1,1,0,7.90947,0.104632,4,0
-7.0589,1.0,1.33629,2,3,0,7.68773,0.263194,5,0
-7.53204,0.880039,1.33629,1,3,0,7.53204,0.360576,6,0
-7.16966,1.0,1.33629,2,3,0,7.48577,0.171729,7,0
-7.70723,0.922383,1.33629,1,3,0,7.71069,0.115198,8,0
-7.02745,1.0,1.33629,2,3,0,7.60303,0.24234,9,0
-7.02304,0.999782,1.33629,1,3,0,7.02774,0.227524,10,0
-11.8166,0.357539,1.33629,2,3,0,11.8246,0.0208894,11,0
-7.36233,1.0,1.33629,2,3,0,11.2399,0.144697,12,0
-7.13394,0.784102,1.33629,2,3,0,9.25029,0.178889,13,0
-7.02523,0.974372,1.33629,2,3,0,7.33256,0.222455,14,0
-7.02523,0.438876,1.33629,1,3,0,9.29275,0.222455,15,0
-7.68949,0.849877,1.33629,1,3,0,7.82045,0.116413,16,0
-7.0228,1.0,1.33629,2,3,0,7.61792,0.232771,17,0
-7.21784,0.871133,1.33629,2,3,0,7.62284,0.308672,18,0
-7.40144,0.977391,1.33629,2,3,0,7.45387,0.341548,19,0
-7.40144,0.520328,1.33629,1,1,0,8.38883,0.341548,20,0
-10.1942,0.618492,1.33629,2,3,0,10.2504,0.57376,21,0
-9.48474,1.0,1.33629,1,1,0,10.8739,0.531907,22,0
-7.33977,0.978448,1.33629,1,3,0,9.69466,0.147249,23,0
-7.60937,0.823049,1.33629,2,3,0,9.64401,0.122222,24,0
-7.43923,1.0,1.33629,1,1,0,7.63406,0.136758,25,0
-7.02289,0.983077,1.33629,1,3,0,7.40809,0.233307,26,0
-7.63099,0.849249,1.33629,1,3,0,7.65889,0.373552,27,0
-7.0526,0.9996,1.33629,1,3,0,7.58006,0.203023,28,0
-7.66357,0.721068,1.33629,2,3,0,8.74306,0.377611,29,0
-7.04718,0.715118,1.33629,2,3,0,8.84223,0.205584,30,0
-7.06606,0.983632,1.33629,2,3,0,7.15375,0.197583,31,0
-7.20973,0.986011,1.33629,2,3,0,7.20981,0.164829,32,0
-7.49526,0.937821,1.33629,1,1,0,7.5016,0.131576,33,0
-7.06199,1.0,1.33629,2,3,0,7.39506,0.264588,34,0
-7.06199,0.770512,1.33629,1,3,0,7.97229,0.264588,35,0
-7.4806,0.86477,1.33629,1,3,0,7.72324,0.132889,36,0
-7.02317,0.841512,1.33629,2,3,0,8.76657,0.234537,37,0
-7.09444,0.962586,1.33629,2,3,0,7.20643,0.188567,38,0
-7.09444,0.536466,1.33629,1,3,0,10.4685,0.188567,39,0
-7.05191,1.0,1.33629,1,1,0,7.08536,0.203334,40,0
-7.20191,0.970699,1.33629,1,3,0,7.20235,0.166101,41,0
-7.40945,0.849951,1.33629,2,3,0,8.72939,0.139706,42,0
-7.02284,0.988377,1.33629,1,3,0,7.36734,0.22852,43,0
-7.09836,0.955488,1.33629,2,3,0,7.24887,0.18749,44,0
-7.27273,0.945844,1.33629,2,3,0,7.52614,0.155595,45,0
-8.10637,0.897518,1.33629,1,3,0,8.11683,0.0927758,46,0
-7.04516,0.97065,1.33629,1,3,0,8.0104,0.206615,47,0
-8.35666,0.751292,1.33629,1,3,0,8.63658,0.082079,48,0
-8.11909,1.0,1.33629,1,1,0,8.46699,0.0921818,49,0
-8.05408,1.0,1.33629,1,1,0,8.29613,0.0952812,50,0
-7.24087,1.0,1.33629,1,3,0,7.897,0.16006,51,0
-7.21975,1.0,1.33629,1,1,0,7.28241,0.163245,52,0
-7.15422,0.928255,1.33629,2,3,0,8.06111,0.174684,53,0
-7.49087,0.924287,1.33629,1,1,0,7.49107,0.131966,54,0
-7.33912,1.0,1.33629,2,3,0,7.50288,0.147324,55,0
-7.03909,1.0,1.33629,1,3,0,7.27472,0.210047,56,0
-7.04655,0.815756,1.33629,2,3,0,8.12097,0.205903,57,0
-7.27746,0.942235,1.33629,2,3,0,7.44711,0.154963,58,0
-7.04751,1.0,1.33629,2,3,0,7.2291,0.25749,59,0
-7.02356,0.999419,1.33629,1,3,0,7.04608,0.225822,60,0
-7.31838,0.937324,1.33629,2,3,0,7.42491,0.149778,61,0
-8.60962,0.857626,1.33629,1,3,0,8.66918,0.0730094,62,0
-8.60712,1.0,1.33629,2,3,0,8.891,0.0730921,63,0
-7.12276,0.996371,1.33629,2,3,0,8.57783,0.181397,64,0
-7.02514,1.0,1.33629,1,3,0,7.10055,0.222592,65,0
-7.02869,0.999632,1.33629,2,3,0,7.02874,0.243776,66,0
-8.20327,0.71895,1.33629,1,3,0,8.66284,0.0883965,67,0
-8.18068,1.0,1.33629,2,3,0,8.4193,0.0893884,68,0
-10.6424,0.892388,1.33629,2,3,0,11.1218,0.59734,69,0
-7.08004,1.0,1.33629,1,3,0,9.23613,0.271865,70,0
-7.02479,1.0,1.33629,1,3,0,7.06302,0.238469,71,0
-7.13065,0.950141,1.33629,2,3,0,7.26828,0.179611,72,0
-7.30318,0.982697,1.33629,2,3,0,7.31063,0.325173,73,0
