lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,i,chain
-7.40978,0.989447,0.859106,1,1,0,7.47314,0.139673,0,2
-7.40978,0.847754,0.859106,1,3,0,8.6822,0.139673,1,2
-7.02408,1.0,0.859106,2,3,0,7.36397,0.237043,2,2
-7.10568,0.984743,0.859106,2,3,0,7.12375,0.185559,3,2
-7.0902,1.0,0.859106,1,1,0,7.11625,0.18977,4,2
-7.02775,0.862637,0.859106,2,3,0,7.97863,0.219117,5,2
-7.02363,1.0,0.859106,1,1,0,7.02658,0.225621,6,2
-7.56961,0.7479,0.859106,2,3,0,8.4576,0.365627,7,2
-7.60248,0.987533,0.859106,1,1,0,7.79269,0.369919,8,2
-7.45513,1.0,0.859106,1,1,0,7.68154,0.349681,9,2
-7.75099,0.893344,0.859106,1,1,0,7.8732,0.388059,10,2
-8.02765,0.896603,0.859106,1,1,0,8.26563,0.417798,11,2
-7.18066,1.0,0.859106,1,1,0,7.72585,0.300465,12,2
-7.1684,1.0,0.859106,2,3,0,7.22219,0.297567,13,2
-8.17181,0.846334,0.859106,2,3,0,8.17746,0.431764,14,2
-7.27155,1.0,0.859106,1,1,0,7.86294,0.319365,15,2
-7.11925,1.0,0.859106,1,1,0,7.23487,0.284631,16,2
-7.86175,0.766673,0.859106,1,1,0,7.86325,0.400503,17,2
-7.06285,0.999257,0.859106,1,3,0,7.8393,0.198785,18,2
-7.02703,0.870859,0.859106,2,3,0,7.86112,0.219958,19,2
-7.02266,1.0,0.859106,1,3,0,7.02637,0.230473,20,2
-7.24419,0.874761,0.859106,2,3,0,7.74109,0.159576,21,2
-8.73246,0.784992,0.859106,2,3,0,9.65178,0.479328,22,2
-7.90161,1.0,0.859106,1,1,0,8.65797,0.404794,23,2
-7.55754,1.0,0.859106,1,1,0,7.92574,0.364023,24,2
-8.39872,0.879478,0.859106,2,3,0,8.52754,0.452146,25,2
-7.22656,1.0,0.859106,1,1,0,7.97168,0.310492,26,2
-7.03632,0.998474,0.859106,2,3,0,7.25159,0.211838,27,2
-7.55554,0.890488,0.859106,1,3,0,7.63116,0.126457,28,2
-7.08114,1.0,0.859106,1,3,0,7.46714,0.192488,29,2
-7.02429,0.997544,0.859106,1,3,0,7.08391,0.237497,30,2
-7.04514,0.985851,0.859106,2,3,0,7.09695,0.206626,31,2
-7.44807,0.918377,0.859106,1,3,0,7.48493,0.13591,32,2
-7.02436,0.921478,0.859106,2,3,0,8.15523,0.223993,33,2
-7.07297,0.987703,0.859106,2,3,0,7.10405,0.195143,34,2
-7.09399,0.99822,0.859106,2,3,0,7.10322,0.188692,35,2
-7.44612,0.95943,0.859106,2,3,0,7.52016,0.34835,36,2
-7.12937,1.0,0.859106,1,1,0,7.34573,0.287506,37,2
-7.04275,0.992949,0.859106,1,3,0,7.16754,0.207909,38,2
-7.12712,0.98399,0.859106,1,3,0,7.12723,0.180401,39,2
-7.02453,0.963176,0.859106,2,3,0,7.4288,0.223667,40,2
-7.02766,0.963571,0.859106,2,3,0,7.21455,0.242597,41,2
-7.12617,0.970519,0.859106,1,3,0,7.16945,0.180616,42,2
-8.34109,0.805846,0.859106,1,3,0,8.506,0.082689,43,2
-8.69657,0.95942,0.859106,1,1,0,8.81785,0.070216,44,2
-8.00703,1.0,0.859106,1,1,0,8.63526,0.0976295,45,2
-8.15472,0.979523,0.859106,1,1,0,8.29557,0.0905497,46,2
-8.10349,1.0,0.859106,1,1,0,8.33243,0.0929107,47,2
-7.02351,0.94991,0.859106,1,3,0,8.14251,0.225947,48,2
-7.08374,0.985924,0.859106,2,3,0,7.11484,0.191684,49,2
-7.06349,0.941622,0.859106,2,3,0,7.44575,0.265245,50,2
-7.48962,0.861934,0.859106,1,3,0,7.77821,0.132078,51,2
-7.02336,0.980654,0.859106,1,3,0,7.49326,0.235165,52,2
-7.07681,0.96281,0.859106,2,3,0,7.21824,0.193867,53,2
-7.62208,0.865939,0.859106,1,3,0,7.81226,0.372424,54,2
-7.51345,1.0,0.859106,1,1,0,7.74142,0.358016,55,2
-7.14781,0.503826,0.859106,2,3,0,10.3323,0.292439,56,2
-7.06192,0.988225,0.859106,1,3,0,7.22375,0.199144,57,2
-7.11563,0.986386,0.859106,1,1,0,7.11837,0.183081,58,2
-7.02639,1.0,0.859106,1,3,0,7.09711,0.220771,59,2
-7.36895,0.887666,0.859106,2,3,0,7.69878,0.336372,60,2
-7.36895,0.431871,0.859106,1,1,0,8.70162,0.336372,61,2
-7.12525,0.963241,0.859106,1,3,0,7.56617,0.180825,62,2
-8.30677,0.81076,0.859106,1,3,0,8.46212,0.0840578,63,2
-7.54085,1.0,0.859106,2,3,0,8.18266,0.127665,64,2
-7.21382,1.0,0.859106,1,1,0,7.47426,0.164177,65,2
-7.95485,0.938559,0.859106,2,3,0,8.10994,0.410387,66,2
-8.62369,0.76344,0.859106,1,1,0,8.91505,0.470787,67,2
-7.1713,1.0,0.859106,1,1,0,8.08406,0.298262,68,2
-7.32034,0.948913,0.859106,1,1,0,7.35262,0.3282,69,2
-7.48624,0.940725,0.859106,1,1,0,7.5692,0.354186,70,2
-7.03744,0.999101,0.859106,1,3,0,7.45972,0.211095,71,2
-8.24349,0.738839,0.859106,1,3,0,8.39342,0.438396,72,2
-7.46084,1.0,0.859106,2,3,0,8.03598,0.350519,73,2
-7.46084,0.521817,0.859106,1,1,0,8.52671,0.350519,74,2
-7.46084,0.451841,0.859106,1,1,0,8.73228,0.350519,75,2
-7.04892,0.656094,0.859106,2,3,0,9.004,0.258252,76,2
-8.61671,0.668203,0.859106,1,3,0,8.63894,0.470229,77,2
-9.09836,0.820849,0.859106,1,1,0,9.67037,0.506175,78,2
-7.75302,1.0,0.859106,1,1,0,8.73574,0.388295,79,2
-7.24156,1.0,0.859106,1,1,0,7.59899,0.313541,80,2
-7.38112,0.86116,0.859106,2,3,0,7.8952,0.142656,81,2
-7.02333,0.986501,0.859106,1,3,0,7.37908,0.235083,82,2
-7.9124,0.787074,0.859106,1,3,0,8.23156,0.102649,83,2
-7.02675,0.945463,0.859106,1,3,0,7.99388,0.241452,84,2
-7.26362,0.879817,0.859106,2,3,0,7.68324,0.156834,85,2
-7.21667,1.0,0.859106,1,1,0,7.28954,0.163727,86,2
-7.02418,1.0,0.859106,2,3,0,7.19947,0.237273,87,2
-7.0232,1.0,0.859106,1,1,0,7.02394,0.234636,88,2
-7.08372,0.846213,0.859106,2,3,0,7.82805,0.191691,89,2
-7.08372,0.93558,0.859106,1,3,0,7.37453,0.191691,90,2
-7.09166,0.999331,0.859106,2,3,0,7.1061,0.189351,91,2
-7.07695,1.0,0.859106,1,1,0,7.09927,0.193823,92,2
-7.79606,0.870067,0.859106,1,3,0,7.86975,0.109448,93,2
-7.05092,0.887049,0.859106,2,3,0,9.21971,0.20379,94,2
-8.01611,0.662321,0.859106,2,3,0,9.28946,0.41664,95,2
-8.11448,0.961403,0.859106,1,1,0,8.47352,0.426315,96,2
-8.58983,0.941586,0.859106,2,3,0,8.95815,0.468069,97,2
-7.27604,1.0,0.859106,1,1,0,8.11133,0.320208,98,2
-7.64634,0.953442,0.859106,2,3,0,7.69916,0.375477,99,2
