lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,i,chain
-8.06071,0.741983,0.965593,1,1,0,8.07282,0.42108,87,3
-7.5508,1.0,0.965593,1,1,0,7.99998,0.36312,88,3
-7.2369,1.0,0.965593,1,1,0,7.47839,0.312604,89,3
-7.2369,0.886597,0.965593,1,1,0,7.49692,0.312604,90,3
-7.03809,0.993703,0.965593,1,3,0,7.26764,0.210672,91,3
-7.03809,0.752858,0.965593,1,3,0,8.06158,0.210672,92,3
-7.05068,0.996766,0.965593,1,1,0,7.05258,0.203903,93,3
-7.82524,0.84842,0.965593,1,3,0,7.96566,0.10767,94,3
-7.09343,1.0,0.965593,1,3,0,7.73922,0.188851,95,3
-7.24474,0.960698,0.965593,2,3,0,7.42919,0.159496,96,3
-7.02947,0.931371,0.965593,2,3,0,8.00926,0.217318,97,3
-7.02293,0.987923,0.965593,2,3,0,7.10221,0.22801,98,3
-7.30708,0.950669,0.965593,2,3,0,7.36813,0.151162,99,3
-9.60804,0.724734,0.965593,2,3,0,10.8016,0.539641,100,3
-9.60804,0.177524,0.965593,1,1,0,13.2001,0.539641,101,3
-7.02288,1.0,0.965593,1,3,0,8.93519,0.233264,102,3
-7.02288,0.811657,0.965593,1,3,0,7.87036,0.233264,103,3
-7.37794,0.914074,0.965593,1,3,0,7.41239,0.337826,104,3
-7.37794,0.348749,0.965593,1,1,0,9.141,0.337826,105,3
-11.6899,0.196924,0.965593,1,1,0,11.6905,0.645763,106,3
-10.1651,1.0,0.965593,1,1,0,12.1371,0.572161,107,3
-8.32238,1.0,0.965593,2,3,0,9.77212,0.445484,108,3
-7.1358,0.965963,0.965593,1,3,0,8.49594,0.178485,109,3
-7.7159,0.904718,0.965593,2,3,0,7.98875,0.114612,110,3
-7.42768,1.0,0.965593,2,3,0,7.68955,0.137885,111,3
-7.26366,1.0,0.965593,2,3,0,7.41546,0.156829,112,3
-7.64241,0.976676,0.965593,2,3,0,7.64365,0.119759,113,3
-7.05787,1.0,0.965593,1,3,0,7.57725,0.20076,114,3
-8.07709,0.753883,0.965593,2,3,0,8.90291,0.422688,115,3
-7.79206,1.0,0.965593,1,1,0,8.20533,0.392769,116,3
-7.5179,1.0,0.965593,1,1,0,7.82716,0.358632,117,3
-7.32328,1.0,0.965593,1,1,0,7.52359,0.328709,118,3
-7.02878,0.986911,0.965593,2,3,0,7.40991,0.218005,119,3
-7.76452,0.830716,0.965593,1,3,0,7.87872,0.389624,120,3
-7.08834,0.573702,0.965593,2,3,0,9.97247,0.274844,121,3
-7.25144,0.78998,0.965593,2,3,0,8.09646,0.315497,122,3
-7.05776,1.0,0.965593,1,1,0,7.19046,0.262666,123,3
-7.05776,0.898117,0.965593,1,3,0,7.48821,0.262666,124,3
-7.85745,0.647192,0.965593,2,3,0,8.99591,0.105767,125,3
-7.93575,0.988688,0.965593,1,1,0,8.06848,0.101371,126,3
-7.7975,1.0,0.965593,1,1,0,8.02172,0.109359,127,3
-7.30566,1.0,0.965593,1,1,0,7.70715,0.151338,128,3
-7.04102,0.920958,0.965593,2,3,0,8.32231,0.208895,129,3
-7.15715,0.977672,0.965593,1,3,0,7.15954,0.174108,130,3
-7.0683,0.943946,0.965593,2,3,0,7.55945,0.267285,131,3
-7.0448,1.0,0.965593,1,1,0,7.06443,0.255957,132,3
-7.0448,0.595558,0.965593,1,3,0,9.23055,0.255957,133,3
-7.35,0.929238,0.965593,1,3,0,7.35292,0.333251,134,3
-7.05572,0.985648,0.965593,1,3,0,7.41909,0.20166,135,3
-7.89701,0.809924,0.965593,1,3,0,8.10327,0.404304,136,3
-7.6772,1.0,0.965593,2,3,0,8.01428,0.379281,137,3
-7.02393,1.0,0.965593,1,3,0,7.57208,0.224909,138,3
-7.06538,0.992666,0.965593,2,3,0,7.07752,0.266061,139,3
-7.51189,0.925558,0.965593,2,3,0,7.52404,0.13012,140,3
-7.36189,0.932779,0.965593,1,3,0,8.18209,0.335219,141,3
-7.36189,0.34333,0.965593,1,1,0,9.15297,0.335219,142,3
-7.03996,0.99726,0.965593,2,3,0,7.40627,0.209517,143,3
-7.04932,0.994419,0.965593,1,3,0,7.08575,0.258469,144,3
-7.09955,0.976405,0.965593,2,3,0,7.18448,0.18717,145,3
-7.24335,0.967787,0.965593,1,1,0,7.24431,0.159698,146,3
-7.24335,0.718612,0.965593,1,3,0,9.38362,0.159698,147,3
-7.04277,0.982071,0.965593,1,3,0,7.31514,0.254745,148,3
-7.71784,0.809369,0.965593,1,3,0,8.1026,0.114482,149,3
-7.25271,0.980471,0.965593,2,3,0,8.00194,0.158356,150,3
-7.13178,1.0,0.965593,1,1,0,7.23204,0.179363,151,3
-8.35127,0.806314,0.965593,1,3,0,8.54028,0.0822894,152,3
-7.11896,0.872669,0.965593,1,3,0,8.93312,0.284545,153,3
-7.02585,0.998168,0.965593,1,3,0,7.12307,0.221512,154,3
-7.28114,0.935156,0.965593,1,3,0,7.33406,0.32116,155,3
-7.02348,1.0,0.965593,1,3,0,7.2281,0.235533,156,3
-7.03279,0.997123,0.965593,1,3,0,7.03788,0.214417,157,3
-7.09999,0.911814,0.965593,2,3,0,7.61074,0.187052,158,3
-7.02436,0.997896,0.965593,2,3,0,7.11295,0.223983,159,3
-7.02267,0.953039,0.965593,2,3,0,7.28344,0.230022,160,3
-7.02267,0.325996,0.965593,1,3,0,11.8142,0.230022,161,3
-7.7587,0.825366,0.965593,1,3,0,8.01036,0.111801,162,3
-7.15936,0.914556,0.965593,1,3,0,8.2003,0.295359,163,3
-7.12097,1.0,0.965593,1,1,0,7.17112,0.285127,164,3
-7.19146,0.977417,0.965593,1,1,0,7.2118,0.302931,165,3
-7.19146,0.599927,0.965593,1,1,0,8.1131,0.302931,166,3
-7.08001,0.978612,0.965593,1,3,0,7.31901,0.192844,167,3
-7.15954,0.981405,0.965593,1,1,0,7.16217,0.173644,168,3
-7.56697,0.892001,0.965593,1,3,0,7.92465,0.365277,169,3
-7.1072,1.0,0.965593,1,1,0,7.41475,0.28102,170,3
-9.26526,0.623313,0.965593,2,3,0,9.2673,0.055039,171,3
-7.22415,1.0,0.965593,1,3,0,9.31085,0.162565,172,3
-7.07988,0.97345,0.965593,2,3,0,7.37314,0.271806,173,3
-7.4458,0.941441,0.965593,2,3,0,7.45108,0.136126,174,3
-7.89141,0.927471,0.965593,1,1,0,7.89973,0.103821,175,3
-8.20362,0.835519,0.965593,1,3,0,9.83977,0.434731,176,3
-7.94475,1.0,0.965593,1,1,0,8.40105,0.409338,177,3
-7.81719,1.0,0.965593,1,1,0,8.158,0.395594,178,3
-7.34106,1.0,0.965593,2,3,0,7.68163,0.1471,179,3
-7.33028,1.0,0.965593,1,1,0,7.40478,0.148357,180,3
-8.31305,0.928543,0.965593,2,3,0,8.40476,0.444657,181,3
-7.27168,1.0,0.965593,1,1,0,7.9559,0.319389,182,3
-8.01216,0.767205,0.965593,1,1,0,8.03936,0.416243,183,3
-7.13939,1.0,0.965593,2,3,0,8.09607,0.177717,184,3
-7.25462,0.955957,0.965593,1,3,0,7.50739,0.316118,185,3
-7.25462,0.744301,0.965593,1,3,0,8.23053,0.316118,186,3
-7.05417,1.0,0.965593,2,3,0,7.23119,0.202328,187,3
-7.02477,0.966587,0.965593,2,3,0,7.28376,0.223229,188,3
-8.26092,0.738141,0.965593,1,3,0,8.38913,0.439981,189,3
-7.27426,1.0,0.965593,1,1,0,7.9257,0.319874,190,3
-7.02627,0.999643,0.965593,1,3,0,7.26082,0.22093,191,3
-7.02627,0.565918,0.965593,1,3,0,8.91519,0.22093,192,3
-7.04919,0.995325,0.965593,1,3,0,7.04945,0.204603,193,3
-7.05918,0.932863,0.965593,2,3,0,7.53472,0.200229,194,3
-7.08487,0.997894,0.965593,2,3,0,7.08951,0.191343,195,3
-7.04465,1.0,0.965593,1,1,0,7.07546,0.206882,196,3
-7.27068,0.773143,0.965593,2,3,0,8.49478,0.155871,197,3
-7.56397,0.906743,0.965593,1,3,0,8.0959,0.364879,198,3
-7.17109,1.0,0.965593,1,1,0,7.44403,0.298211,199,3
-8.01078,0.651701,0.965593,1,3,0,8.95462,0.0974389,200,3
-7.13513,0.992883,0.965593,2,3,0,8.08167,0.178631,201,3
-7.10134,0.969773,0.965593,2,3,0,7.38114,0.279176,202,3
-9.03699,0.659006,0.965593,2,3,0,9.04156,0.0605622,203,3
-7.09831,1.0,0.965593,2,3,0,8.80316,0.187504,204,3
-7.03004,0.99446,0.965593,1,3,0,7.12153,0.245175,205,3
-7.3646,0.905481,0.965593,1,3,0,7.51805,0.144446,206,3
-9.23958,0.79639,0.965593,1,3,0,9.50471,0.0556274,207,3
-7.81823,0.928423,0.965593,1,3,0,9.08734,0.108092,208,3
-7.04025,0.994385,0.965593,1,3,0,7.78829,0.209345,209,3
-8.37984,0.733736,0.965593,1,3,0,8.79168,0.0811827,210,3
-7.90529,1.0,0.965593,1,1,0,8.36071,0.103043,211,3
-7.90529,0.922978,0.965593,1,1,0,8.46327,0.103043,212,3
-7.72925,1.0,0.965593,1,1,0,7.96536,0.113721,213,3
-8.11966,0.944527,0.965593,1,1,0,8.16092,0.0921552,214,3
