lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,i
-6.87684,1.0,0.962205,2,3,0,8.55511,0.190395,93
-6.7967,1.0,0.962205,1,1,0,6.85915,0.212413,94
-6.75959,1.0,0.962205,2,3,0,6.78678,0.269331,95
-6.88524,0.971074,0.962205,1,3,0,6.88645,0.31895,96
-7.14999,0.813123,0.962205,2,3,0,7.79647,0.150431,97
-7.24683,0.909658,0.962205,1,3,0,7.99954,0.386179,98
-7.12865,1.0,0.962205,1,1,0,7.31361,0.367973,99
-6.81905,1.0,0.962205,1,1,0,7.02976,0.298959,100
-6.80531,1.0,0.962205,1,1,0,6.82952,0.293813,101
-6.78648,0.989434,0.962205,1,3,0,6.88347,0.216445,102
-6.82859,0.989661,0.962205,1,1,0,6.83174,0.202195,103
-7.99643,0.803391,0.962205,2,3,0,8.59535,0.471642,104
-7.96786,1.0,0.962205,1,1,0,8.40937,0.468949,105
-7.48884,1.0,0.962205,1,1,0,7.99166,0.418055,106
-7.48884,0.880042,0.962205,1,1,0,7.92221,0.418055,107
-6.92136,1.0,0.962205,1,1,0,7.30746,0.32792,108
-6.83485,1.0,0.962205,1,1,0,6.90877,0.304331,109
-6.79477,0.985834,0.962205,1,3,0,6.93293,0.213137,110
-6.7482,0.908049,0.962205,2,3,0,7.36809,0.252341,111
-6.7678,0.996404,0.962205,2,3,0,6.77272,0.225707,112
-6.7678,0.285424,0.962205,1,3,0,11.6772,0.225707,113
-7.46367,0.844569,0.962205,2,3,0,7.90132,0.414994,114
-7.66797,0.928489,0.962205,1,1,0,7.88519,0.438554,115
-7.26625,1.0,0.962205,2,3,0,7.65124,0.388971,116
-6.76888,0.985479,0.962205,2,3,0,7.38566,0.225069,117
-7.57027,0.83541,0.962205,1,3,0,7.72835,0.116122,118
-7.84435,0.961232,0.962205,1,1,0,7.9251,0.100585,119
-6.75685,0.896622,0.962205,2,3,0,9.08074,0.233643,120
-6.78806,0.996777,0.962205,2,3,0,6.78932,0.286431,121
-6.79372,0.998278,0.962205,1,1,0,6.8045,0.288995,122
-7.00042,0.936692,0.962205,1,1,0,7.00096,0.344942,123
-6.75388,1.0,0.962205,1,3,0,6.93733,0.263687,124
-6.74856,0.99969,0.962205,1,3,0,6.75527,0.245915,125
-7.02642,0.932466,0.962205,1,3,0,7.08822,0.16526,126
-6.76073,1.0,0.962205,1,3,0,6.98559,0.230431,127
-6.76073,0.431132,0.962205,1,3,0,9.69527,0.230431,128
-6.91903,0.967126,0.962205,1,3,0,6.92811,0.182046,129
-7.11566,0.959494,0.962205,1,1,0,7.12298,0.154212,130
-8.16838,0.867548,0.962205,1,3,0,8.19893,0.0860467,131
-6.78306,0.97736,0.962205,1,3,0,8.19016,0.217922,132
-6.78306,0.766892,0.962205,2,3,0,8.22255,0.217922,133
-6.74956,0.964838,0.962205,2,3,0,7.02239,0.243101,134
-6.74956,0.583867,0.962205,1,3,0,8.50126,0.243101,135
-7.83258,0.624981,0.962205,2,3,0,9.0872,0.455752,136
-7.06607,1.0,0.962205,1,1,0,7.60194,0.357271,137
-6.80709,1.0,0.962205,1,1,0,6.98403,0.29451,138
-7.75187,0.719668,0.962205,1,3,0,8.45651,0.105428,139
-10.9651,0.775021,0.962205,2,3,0,11.3443,0.0281762,140
-8.00028,0.924677,0.962205,1,3,0,11.0264,0.0931658,141
-7.76241,1.0,0.962205,1,1,0,8.08178,0.104858,142
-7.26022,0.872274,0.962205,2,3,0,8.91197,0.388109,143
-7.48734,0.922127,0.962205,1,1,0,7.62929,0.417874,144
-9.28183,0.516547,0.962205,1,1,0,9.39667,0.569983,145
-6.89581,1.0,0.962205,1,3,0,8.45063,0.321679,146
-7.19771,0.903795,0.962205,1,1,0,7.21506,0.378883,147
-6.75331,1.0,0.962205,1,3,0,7.08694,0.263001,148
-6.76156,0.996296,0.962205,1,3,0,6.77585,0.229817,149
-6.76914,0.949839,0.962205,2,3,0,7.0899,0.224918,150
-7.04823,0.943652,0.962205,1,3,0,7.06893,0.162371,151
-7.46144,0.925802,0.962205,1,1,0,7.46467,0.123462,152
-7.77097,0.954316,0.962205,1,1,0,7.83074,0.104398,153
-7.93756,0.977898,0.962205,1,1,0,8.07186,0.0960468,154
-8.45313,0.940964,0.962205,1,1,0,8.51972,0.0756422,155
-6.7953,0.968562,0.962205,1,3,0,8.51754,0.212936,156
-6.841,0.988921,0.962205,1,1,0,6.84537,0.198843,157
-6.79885,1.0,0.962205,1,1,0,6.83623,0.211626,158
-6.7491,1.0,0.962205,1,3,0,6.79058,0.244236,159
-6.75672,0.99762,0.962205,1,3,0,6.76148,0.266727,160
-6.95711,0.875914,0.962205,2,3,0,7.45173,0.175506,161
-7.03621,0.961429,0.962205,2,3,0,7.39056,0.163946,162
-6.8998,0.978167,0.962205,2,3,0,7.29755,0.185682,163
-9.59809,0.554645,0.962205,1,3,0,10.2967,0.589454,164
-6.82039,1.0,0.962205,1,3,0,8.68438,0.299435,165
-7.58352,0.829686,0.962205,1,3,0,7.58458,0.429151,166
-7.6355,0.981234,0.962205,1,1,0,7.91462,0.434989,167
-7.20457,0.788711,0.962205,1,3,0,8.66315,0.144841,168
-6.80693,0.955812,0.962205,1,3,0,7.40531,0.294446,169
-6.80218,0.978503,0.962205,2,3,0,6.93798,0.210439,170
-7.89557,0.797394,0.962205,1,3,0,8.09595,0.0980513,171
-6.82666,0.899607,0.962205,1,3,0,8.34499,0.301611,172
-7.16653,0.870816,0.962205,1,3,0,7.53542,0.148685,173
-7.42558,0.885505,0.962205,1,3,0,8.25461,0.410263,174
-6.74814,1.0,0.962205,1,3,0,7.30169,0.248065,175
-6.76082,0.997496,0.962205,2,3,0,6.76525,0.270347,176
-6.76082,0.398169,0.962205,1,3,0,9.50965,0.270347,177
-6.7561,0.996911,0.962205,2,3,0,6.78307,0.23434,178
-6.7561,0.954005,0.962205,1,3,0,6.93423,0.23434,179
-6.79037,0.864265,0.962205,2,3,0,7.5645,0.21485,180
-7.09836,0.961523,0.962205,2,3,0,7.1559,0.362903,181
-6.75846,1.0,0.962205,1,3,0,7.00566,0.268348,182
-6.75748,1.0,0.962205,2,3,0,6.76069,0.267445,183
-6.76785,0.989046,0.962205,2,3,0,6.81582,0.275426,184
-6.93897,0.960985,0.962205,1,3,0,6.93958,0.33198,185
-6.93897,0.795573,0.962205,1,1,0,7.38704,0.33198,186
-7.92242,0.860716,0.962205,2,3,0,7.9289,0.464602,187
-7.92242,0.674545,0.962205,1,3,0,9.28608,0.464602,188
-7.47778,1.0,0.962205,1,1,0,7.95814,0.416716,189
-6.74837,1.0,0.962205,1,3,0,7.34745,0.246715,190
-7.9317,0.744589,0.962205,1,3,0,8.04698,0.465496,191
-7.02027,1.0,0.962205,2,3,0,7.79207,0.1661,192
-6.76862,0.99284,0.962205,2,3,0,7.07593,0.225219,193
-7.50235,0.849042,0.962205,1,3,0,7.63825,0.120608,194
-6.82795,1.0,0.962205,1,3,0,7.40614,0.202376,195
-6.76613,0.999674,0.962205,1,3,0,6.81228,0.226731,196
-7.06257,0.922294,0.962205,1,3,0,7.16606,0.356644,197
-6.80685,1.0,0.962205,1,1,0,6.98163,0.294415,198
-6.76215,0.994938,0.962205,1,3,0,6.83936,0.229393,199
-6.80108,0.990039,0.962205,1,1,0,6.80114,0.210828,200
-6.92284,0.971468,0.962205,1,1,0,6.92312,0.181354,201
-8.35084,0.789702,0.962205,1,3,0,8.54553,0.0791682,202
-8.3229,1.0,0.962205,2,3,0,8.59404,0.0801705,203
-7.58601,1.0,0.962205,2,3,0,8.23438,0.115124,204
-6.93283,0.984396,0.962205,2,3,0,7.79651,0.179585,205
-6.75679,0.921241,0.962205,2,3,0,7.70065,0.233699,206
-6.77335,0.879578,0.962205,2,3,0,7.47523,0.222592,207
-7.43533,0.842481,0.962205,1,3,0,7.60768,0.411485,208
-6.93382,1.0,0.962205,2,3,0,7.32484,0.179412,209
-6.75973,0.987626,0.962205,1,3,0,6.97823,0.269442,210
-6.75996,0.99993,0.962205,1,1,0,6.76328,0.269642,211
-8.1135,0.659927,0.962205,1,3,0,8.85695,0.0882812,212
-6.75296,0.949791,0.962205,1,3,0,8.22202,0.237722,213
-6.83707,0.98157,0.962205,1,3,0,6.84244,0.199878,214
-7.98225,0.75453,0.962205,1,3,0,8.36267,0.470309,215
-8.30903,0.885872,0.962205,1,1,0,8.70286,0.499271,216
-6.93486,1.0,0.962205,2,3,0,8.47578,0.179232,217
-6.89358,1.0,0.962205,1,1,0,6.95116,0.186916,218
-7.00545,0.975894,0.962205,1,1,0,7.01872,0.168174,219
-7.35832,0.934066,0.962205,1,1,0,7.36212,0.131245,220
-7.05183,1.0,0.962205,1,1,0,7.31202,0.161908,221
-6.84135,1.0,0.962205,1,1,0,7.00474,0.198753,222
-7.42703,0.855166,0.962205,1,3,0,7.73855,0.410446,223
-8.03761,0.800039,0.962205,1,1,0,8.20394,0.475468,224
-7.44376,1.0,0.962205,1,1,0,7.99395,0.412536,225
-6.80989,1.0,0.962205,1,3,0,7.23702,0.295586,226
-6.8242,0.950883,0.962205,2,3,0,7.06629,0.203447,227
-6.8242,0.531727,0.962205,1,3,0,9.39518,0.203447,228
-7.02994,0.93741,0.962205,1,3,0,7.2342,0.350648,229
-7.1527,0.832933,0.962205,1,3,0,7.8329,0.150142,230
